Date,Open,High,Low,Close,Adj Close,Volume
2022-07-14,2689.000000,2832.000000,2601.000000,2764.850098,2764.850098,592269
2022-07-15,2800.000000,2847.649902,2731.050049,2807.699951,2807.699951,572560
2022-07-18,2832.000000,2859.899902,2767.600098,2832.800049,2832.800049,461187
2022-07-19,2817.000000,2847.000000,2765.100098,2832.350098,2832.350098,456761
2022-07-20,2849.850098,2860.449951,2728.100098,2779.949951,2779.949951,341959
2022-07-21,2785.000000,2893.000000,2741.050049,2876.600098,2876.600098,737814
2022-07-22,2878.850098,2889.699951,2816.100098,2874.199951,2874.199951,339750
2022-07-25,2860.000000,2924.199951,2836.850098,2878.850098,2878.850098,363143
2022-07-26,2890.000000,2912.000000,2841.500000,2898.199951,2898.199951,230808
2022-07-27,2908.000000,2977.949951,2885.000000,2960.100098,2960.100098,310009
2022-07-28,2977.000000,3018.000000,2958.300049,3005.899902,3005.899902,258796
2022-07-29,3035.000000,3158.000000,3014.000000,3127.199951,3127.199951,457762
2022-08-01,3144.000000,3232.300049,3080.000000,3217.649902,3217.649902,495733
2022-08-02,3210.000000,3265.550049,3173.199951,3248.850098,3248.850098,500363
2022-08-03,3240.000000,3299.000000,2811.000000,3269.949951,3269.949951,336678
2022-08-04,3284.850098,3389.000000,3180.000000,3349.649902,3349.649902,672043
2022-08-05,3365.899902,3378.800049,3302.550049,3347.399902,3347.399902,502620
2022-08-08,3363.949951,3474.000000,3287.250000,3365.000000,3365.000000,514366
2022-08-10,3388.000000,3390.000000,3271.000000,3351.399902,3351.399902,551856
2022-08-11,3362.000000,3399.300049,3309.000000,3352.300049,3352.300049,473134
2022-08-12,3347.000000,3439.800049,3338.350098,3425.399902,3425.399902,453978
2022-08-16,3438.300049,3498.000000,3415.399902,3489.699951,3489.699951,230770
2022-08-17,3485.699951,3533.449951,3405.000000,3471.850098,3471.850098,295428
2022-08-18,3460.000000,3495.000000,3434.100098,3463.300049,3463.300049,582583
2022-08-19,3480.000000,3491.850098,3328.000000,3390.899902,3390.899902,492655
2022-08-22,3390.899902,3440.000000,3305.000000,3364.300049,3364.300049,346319
2022-08-23,3300.000000,3448.000000,3239.300049,3430.949951,3430.949951,497088
2022-08-24,3362.350098,3459.000000,3335.000000,3427.800049,3427.800049,459108
2022-08-25,3420.000000,3440.000000,3340.000000,3365.199951,3365.199951,185491
2022-08-26,3365.500000,3472.000000,3365.500000,3459.649902,3459.649902,504729
2022-08-29,3301.000000,3550.000000,3301.000000,3537.399902,3537.399902,608809
2022-08-30,3550.000000,3816.000000,3550.000000,3744.949951,3744.949951,1274580
2022-09-01,3684.050049,3727.699951,3580.000000,3639.250000,3639.250000,586989
2022-09-02,3665.000000,3736.000000,3566.000000,3622.850098,3622.850098,360875
2022-09-05,3588.050049,3646.199951,3505.000000,3530.600098,3530.600098,249706
2022-09-06,3545.949951,3710.000000,3535.949951,3682.850098,3682.850098,355296
2022-09-07,3680.000000,3764.949951,3642.000000,3661.250000,3661.250000,330913
2022-09-08,3685.800049,3712.000000,3605.000000,3629.899902,3629.899902,261326
2022-09-09,3670.000000,3695.000000,3612.000000,3633.300049,3633.300049,204584
2022-09-12,3653.750000,3679.850098,3600.000000,3635.399902,3635.399902,194549
2022-09-13,3642.000000,3668.449951,3585.000000,3604.750000,3604.750000,220809
2022-09-14,3570.000000,3620.000000,3550.550049,3564.399902,3564.399902,179827
2022-09-15,3565.000000,3704.699951,3554.399902,3601.350098,3601.350098,326756
2022-09-16,3608.949951,3631.800049,3469.199951,3528.800049,3528.800049,604559
2022-09-19,3546.449951,3646.000000,3489.649902,3620.050049,3620.050049,267621
2022-09-20,3657.949951,3725.000000,3646.050049,3674.949951,3674.949951,398494
2022-09-21,3690.000000,3740.000000,3538.100098,3565.500000,3565.500000,368952
2022-09-22,3565.000000,3644.949951,3491.000000,3629.899902,3629.899902,229512
2022-09-23,3642.100098,3663.300049,3526.199951,3545.250000,3545.250000,143552
2022-09-26,3500.000000,3527.449951,3275.649902,3371.050049,3371.050049,395275
2022-09-27,3371.050049,3499.899902,3331.800049,3378.699951,3378.699951,483227
2022-09-28,3360.000000,3485.000000,3335.000000,3448.050049,3448.050049,267366
2022-09-29,3508.000000,3574.800049,3303.399902,3372.250000,3372.250000,2436698
2022-09-30,3344.000000,3416.449951,3251.100098,3339.850098,3339.850098,527566
2022-10-03,3329.899902,3424.649902,2965.649902,3100.800049,3100.800049,578177
